"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"LOC105373992",0,0,0,0,0,0
"LINC00879",0,0,0,0,0,0
"MTHFD2P1",1,1,1,1,0,0
"MIR8060",0,0,0,0,0,0
"EPHA6",1,3,0,3,0,2
"LOC107986103",0,0,0,0,0,0
"LOC101929278",0,0,0,0,0,0
"ARL6",216,234,288,237,261,321
"LOC101929298",0,0,0,0,0,0
"CRYBG3",1779,1943,1523,1437,1743,2273
"LOC105373994",23,14,4,9,14,33
"RIOX2",469,920,826,544,657,664
"GABRR3",1,0,0,0,0,0
"OR5AC2",0,0,0,0,0,0
"OR5H1",0,0,0,0,0,0
"LOC105373996",0,0,0,0,0,0
"OR5H14",0,0,0,0,0,0
"OR5H15",0,0,0,0,0,0
"LOC105373998",0,0,0,0,0,0
"LOC105373997",0,0,0,0,0,0
"LOC101929320",0,0,0,0,0,0
"LOC105373999",0,0,0,0,0,0
"OR5H6",0,0,0,0,0,0
"OR5H2",0,0,0,0,0,0
"OR5K4",0,0,0,0,0,0
"LOC105374000",0,0,0,0,0,0
"OR5K3",0,0,0,0,0,0
"OR5K1",0,0,0,0,1,0
"OR5K2",0,0,0,0,2,1
"CLDND1",705,958,813,847,951,909
"GPR15",0,0,0,0,0,0
"CPOX",570,544,477,513,550,586
"ST3GAL6-AS1",0,0,0,0,0,0
"ST3GAL6",5,11,3,10,10,15
"DCBLD2",4634,4503,3295,12173,10400,4067
"LOC105374002",3,1,1,2,3,1
"LOC105374003",4,0,0,2,5,1
"LOC107986104",1,7,1,1,2,1
"LOC105374004",0,3,0,2,0,1
"LOC105374007",3,7,1,5,3,6
"LOC105374005",2,2,2,2,3,2
"LOC105374006",0,0,0,0,0,0
"COL8A1",17392,28841,14528,8688,17481,7490
"HP09053",4,12,5,10,14,12
"CMSS1",216,352,350,386,488,351
"FILIP1L",1186,1750,678,903,1070,564
"LOC112268455",3,4,2,3,4,7
"MIR3921",0,0,0,0,0,0
"LOC105374010",14,23,15,24,36,30
"LOC105374009",5,4,1,2,5,3
"TMEM30CP",0,0,0,1,0,0
"TBC1D23",1763,2391,2262,1890,2133,1678
"NIT2",653,704,815,627,795,847
"LOC112268456",0,0,0,0,1,0
"TOMM70",1643,2070,1690,1839,2169,1932
"LNP1",44,30,31,27,61,55
"TMEM45A",525,845,904,918,1043,595
"ADGRG7",0,0,0,1,0,0
"TFG",1672,1399,1830,2724,2814,2184
"ABI3BP",215,308,171,556,1182,351
"IMPG2",43,28,33,27,27,35
"SENP7",546,608,501,458,450,664
"FAM172BP",0,0,0,1,0,0
"TRMT10C",338,339,416,298,382,396
"PCNP",9731,7696,13532,6465,8410,13548
"ZBTB11",726,829,650,636,811,880
"ZBTB11-AS1",67,64,68,82,83,87
"RPL24",2856,2448,4367,2037,2608,4102
"LOC105374013",47,27,16,28,50,73
"PDCL3P4",18,47,30,19,28,21
"CEP97",440,581,449,974,1189,555
"NXPE3",1158,1335,904,800,1280,1658
"NFKBIZ",478,728,891,1096,1007,420
"LINC02085",1,3,0,5,3,0
"LOC101929411",0,0,0,0,0,0
"LOC107986105",0,0,0,0,0,0
"ZPLD1",0,4,1,9,12,0
"LOC105374016",0,0,1,0,0,0
"LOC107986106",0,0,0,0,0,0
"LOC105374017",0,0,0,0,0,0
"LOC105374018",0,0,0,0,0,0
"MIR548AB",0,0,0,0,0,0
"LOC105374019",0,0,0,0,0,0
"LOC105374020",0,0,0,0,1,0
"LOC105374021",0,0,0,0,0,0
"LOC107986107",0,0,0,0,0,0
"LOC107986108",1,2,0,3,5,1
"LOC105374023",0,0,0,0,0,0
"ALCAM",2735,8751,7037,6723,6951,2769
"CBLB",588,1015,549,1768,1340,669
"LOC107986109",1,1,3,1,1,0
"LOC105374024",0,0,0,2,3,7
"LOC105374026",0,0,0,1,0,1
"LOC105374027",0,1,1,4,2,1
"LOC107986110",0,0,0,3,0,0
"LOC107986112",0,0,0,0,0,0
"LOC101929485",0,1,0,2,1,0
"LOC105374029",0,1,0,1,0,0
"LOC101929534",1,0,1,2,1,2
"LOC107986021",0,0,0,1,0,1
"LINC00882",6,11,9,4,11,9
"DUBR",167,191,164,198,260,313
"CCDC54",3,6,6,12,3,0
"LOC101929579",2,5,2,14,5,4
"LINC01990",0,0,1,1,1,2
"BBX",2006,2467,1699,1711,1921,1826
"LINC00635",2,0,1,0,0,2
"LINC00636",0,0,0,0,0,0
"CD47",3004,2104,3417,2750,3345,7413
"LOC105374031",2,0,0,0,0,2
"LINC01215",0,0,0,0,0,0
"IFT57",994,968,1010,733,922,1402
"HHLA2",0,0,0,0,1,0
"MYH15",8,32,6,24,10,44
"CIP2A",232,293,159,789,1103,353
"DZIP3",554,666,658,535,755,812
"LOC105374033",0,0,0,0,0,0
"LOC105374034",0,0,0,0,0,0
"RETNLB",0,0,0,0,0,0
"TRAT1",0,0,0,0,0,0
"GUCA1C",0,0,0,0,0,0
"MORC1",0,0,0,0,0,0
"MORC1-AS1",0,0,0,0,0,0
"C3orf85",0,0,0,0,0,0
"LINC00488",0,0,0,0,0,0
"DPPA2",0,0,0,0,0,0
"DPPA4",3,0,0,0,1,0
"LINC01205",2,0,0,0,0,3
"MIR4445",0,0,0,0,0,0
"LOC105377811",0,0,0,0,0,0
"LOC105374036",0,0,0,0,0,0
"LOC105374037",0,0,0,0,0,0
"LOC151760",2,5,4,0,8,3
"NECTIN3-AS1",2,4,5,5,4,4
"NECTIN3",2829,2845,3197,3485,3540,3426
"LOC105374038",0,1,1,0,0,2
"LOC105374039",0,0,0,0,2,0
"CD96",0,2,3,0,0,1
"ZBED2",1,1,0,2,1,0
"PLCXD2",6,4,2,17,6,8
"PLCXD2-AS1",0,0,0,3,2,0
"PHLDB2",1936,3035,1412,1661,2030,873
"LOC107984087",0,0,0,0,0,0
"LOC105374040",16,12,16,14,12,10
"ABHD10",455,637,622,608,597,580
"TAGLN3",2,0,0,0,0,3
"TMPRSS7",0,0,1,0,0,0
"C3orf52",57,53,52,21,38,25
"MIR567",0,0,0,0,0,0
"GCSAM",6,5,2,2,3,4
"TBILA",0,0,0,0,0,0
"SLC9C1",4,2,5,1,1,0
"LOC105374042",0,0,0,0,0,0
"CD200",1,26,0,0,13,1
"LOC105374041",0,0,0,0,0,0
"LOC112268446",0,0,0,0,0,1
"BTLA",1,3,0,0,3,0
"ATG3",825,847,831,924,1035,937
"SLC35A5",1125,886,1346,826,954,1013
"LOC112268447",283,336,255,379,486,612
"LINC01279",0,0,0,0,0,0
"CCDC80",29565,52318,33974,47398,46723,51311
"LINC02042",1,1,0,0,1,0
"CD200R1L-AS1",3,0,3,0,0,0
"CD200R1L",0,0,0,0,0,0
"CD200R1",0,26,2,0,3,63
"GTPBP8",238,247,276,159,198,225
"NEPRO",1034,850,1112,890,974,1070
"LOC107986114",9,9,5,11,16,16
"LOC107986113",9,5,6,10,5,21
"LINC02044",1,1,4,0,0,0
"LOC102723430",0,0,0,0,0,0
"BOC",1047,673,1087,1118,1064,1564
"CFAP44",192,210,177,215,279,386
"CFAP44-AS1",0,0,1,2,0,0
"MIR8076",0,0,1,1,1,0
"SPICE1",316,424,334,335,424,503
"SIDT1",0,1,0,3,1,1
"MIR4446",0,0,0,0,0,0
"USF3",333,241,242,382,462,354
"NAA50",2583,3518,2829,3400,3908,3536
"ATP6V1A",1913,2634,1680,3232,2852,2711
"GRAMD1C",66,57,59,65,104,19
"ZDHHC23",80,83,119,100,75,88
"CCDC191",203,150,146,241,290,371
"LOC105374048",0,0,1,2,0,1
"QTRT2",339,480,332,335,416,366
"DRD3",0,0,0,0,0,0
"LOC107986115",0,0,0,0,1,0
"ZNF80",0,0,0,0,1,0
"TIGIT",8,8,7,10,4,13
"ZBTB20",1277,912,1023,1495,1882,1961
"MIR568",0,0,0,0,0,0
"ZBTB20-AS1",7,1,6,15,19,13
"ZBTB20-AS5",1,0,2,3,2,2
"MIR4796",0,0,0,0,0,0
"ZBTB20-AS3",2,1,3,1,5,2
"ZBTB20-AS4",1,1,3,2,2,2
"LOC101926886",1,0,0,0,0,4
"LOC105374051",0,0,0,0,0,0
"GAP43",9,5,3,11,48,23
"LSAMP",609,208,1282,415,319,1811
"LOC105374053",0,0,0,0,0,0
"SNORD155",0,0,0,0,0,1
"LOC107986116",2,1,5,4,1,2
"LOC105374052",0,2,1,2,4,3
"LSAMP-AS1",2,0,0,2,0,1
"LINC00903",0,2,1,0,0,0
"TUSC7",0,1,2,1,3,3
"MIR4447",0,0,0,0,0,0
"LINC00901",1,2,3,0,0,5
"LOC105374054",0,4,1,0,0,2
"LOC105374056",2,13,7,2,2,19
"LINC02024",0,1,0,0,2,2
"LOC107986022",4,69,27,18,23,53
"LOC101926953",0,2,0,0,2,2
"LOC105374058",0,0,0,0,0,0
"LOC105374060",0,0,0,0,0,0
"LOC101926968",0,0,0,0,0,0
"LOC107983969",0,0,0,0,0,0
"LOC105374059",0,0,0,0,0,0
"IGSF11",2,1,0,1,1,0
"IGSF11-AS1",0,0,0,0,0,0
"TEX55",2,0,1,0,0,0
"UPK1B",0,2,1,0,10,4
"B4GALT4",790,1185,637,1033,1239,631
"B4GALT4-AS1",5,11,3,2,10,4
"ARHGAP31",971,1800,676,1185,1342,822
"ARHGAP31-AS1",4,5,3,5,9,4
"TMEM39A",1225,1611,1429,1113,1324,1452
"POGLUT1",339,469,531,384,410,568
"TIMMDC1",1057,1186,1530,1105,1151,1303
"CD80",0,10,0,1,1,3
"LOC107986118",0,0,0,0,0,0
"ADPRH",82,258,126,187,160,168
"PLA1A",2,1,1,1,1,1
"LOC105374062",0,2,0,1,0,0
"POPDC2",10,74,2,8,42,11
"LOC105374063",6,1,5,6,2,8
"COX17",132,175,156,201,217,130
"LOC105374064",0,0,0,0,0,0
"MAATS1",5,3,7,4,6,13
"NR1I2",0,1,1,2,0,4
"GSK3B",1763,1397,1478,1951,2072,1990
"LOC107986119",24,15,13,23,40,54
"LOC105374065",1,0,0,0,0,0
"GPR156",29,25,8,20,24,25
"LRRC58",1579,1416,1199,1862,2364,2111
"LOC100130701",25,33,14,15,24,26
"FSTL1",68781,99244,72196,57462,61633,79045
"MIR198",0,0,0,0,0,0
"LOC107986121",19,20,22,5,12,49
"NDUFB4",925,730,1037,665,814,808
"HGD",1,10,2,1,1,1
"RABL3",522,443,525,405,565,521
"GTF2E1",236,303,369,278,329,315
"LINC02049",0,0,0,0,0,0
"LOC105374069",0,0,0,0,0,0
"STXBP5L",1,0,2,2,7,4
"MIR5682",0,0,0,0,0,0
"POLQ",153,200,81,551,728,214
"ARGFX",1,0,0,0,0,1
"FBXO40",0,0,0,0,0,1
"HCLS1",27,33,47,1,8,22
"GOLGB1",6112,8065,4678,5225,6722,6461
"IQCB1",361,419,292,386,367,473
"EAF2",5,9,8,15,17,13
"SLC15A2",1,7,6,11,7,16
"ILDR1",0,0,0,0,1,0
"LOC101927010",0,0,0,0,0,0
"CD86",0,0,0,0,0,0
"CASR",0,0,0,0,0,0
"CSTA",16,11,99,17,29,36
"CCDC58",100,117,115,77,92,153
"FAM162A",360,309,490,316,390,453
"WDR5B",184,164,230,173,263,234
"LOC102723582",4,2,4,8,16,11
"KPNA1",1379,2093,1334,2291,2188,1473
"LOC107984000",2,0,1,0,1,0
"LOC105374071",4,3,2,1,11,10
"PARP9",934,849,864,584,844,1363
"DTX3L",1287,1090,1252,882,1219,1567
"PARP15",8,10,2,20,12,37
"PARP14",2168,1966,1850,1157,1740,2748
"HSPBAP1",163,121,167,119,153,205
"SLC49A4",488,265,397,484,491,507
"LINC02035",10,5,9,6,4,12
"SEMA5B",0,2,0,0,0,0
"LOC112268448",0,0,0,0,0,0
"PDIA5",932,1386,2122,1574,1864,2238
"MIR7110",0,4,3,3,3,5
"SEC22A",467,555,704,501,592,567
"ADCY5",14,22,11,12,17,28
"HACD2",585,1319,624,2181,2497,755
"MYLK-AS1",11,16,10,21,21,16
"MYLK",7019,19942,10734,13025,16229,3910
"MYLK-AS2",1,1,1,0,2,0
"LOC105369194",51,49,53,76,61,35
"CCDC14",1508,1744,1391,1790,2220,1524
"ROPN1",0,0,0,0,0,0
"KALRN",252,154,228,129,337,138
"MIR5002",0,0,0,0,0,0
"LOC105374077",0,1,1,1,2,0
"MIR6083",1,0,0,0,0,0
"LOC107986123",0,1,0,2,3,2
"LOC105374076",0,1,0,0,0,0
"UMPS",415,543,477,627,716,572
"MIR544B",0,0,0,2,1,4
"ITGB5",3365,10435,8802,22886,18753,14530
"MUC13",0,0,0,3,2,0
"HEG1",4425,4782,3998,5442,8210,3503
"SLC12A8",126,96,96,83,232,66
"MIR5092",0,0,0,0,0,0
"ZNF148",2412,2865,2347,2077,2421,2561
"LOC105374080",1,2,2,4,4,4
"LOC105374081",0,0,0,0,0,0
"SNX4",519,755,595,734,633,711
"OSBPL11",443,593,393,597,633,496
"LOC105374312",0,0,0,0,0,0
"MIR548I1",0,0,0,0,0,0
"LINC02614",12,10,6,6,23,17
"LOC102723696",54,98,51,41,78,81
"FAM86JP",26,26,37,35,35,53
"ALG1L",10,12,7,14,18,22
"ROPN1B",1,0,0,0,1,0
"SLC41A3",701,518,1038,788,818,997
"LOC105374085",6,10,6,1,18,11
"LOC112267887",0,0,0,0,0,0
"ALDH1L1",0,3,0,0,0,0
"ALDH1L1-AS1",0,0,0,0,0,1
"LOC105374083",0,1,0,0,2,0
"ALDH1L1-AS2",0,0,0,0,0,0
"LOC107986124",0,0,3,0,2,0
"KLF15",68,26,38,19,29,47
"LOC105374088",0,0,0,0,0,0
"LOC107986044",0,0,0,0,0,0
"CCDC37-DT",0,0,0,0,0,0
"CFAP100",2,1,2,1,1,1
"LOC105374089",7,3,1,2,1,5
"ZXDC",612,497,528,575,784,738
"UROC1",0,2,0,0,0,1
"CHST13",0,0,1,3,2,8
"C3orf22",0,0,1,0,1,1
"LOC105374090",11,8,8,6,5,11
"TXNRD3NB",0,0,0,2,0,0
"TXNRD3",262,277,370,280,363,377
"NUP210P1",0,0,0,0,0,0
"CHCHD6",158,175,151,188,205,160
"PLXNA1",4694,4839,3672,5562,5136,7439
"C3orf56",0,0,0,0,0,0
"PRR20G",0,0,0,1,0,0
"LINC02016",0,0,0,0,0,0
"LOC105374094",0,0,0,0,0,0
"LINC01471",1,0,0,0,0,0
"LINC02034",2,1,0,0,0,0
"TPRA1",712,615,880,825,732,902
"MIR6825",0,0,0,0,0,2
"MIR7976",1,0,0,0,0,1
"MCM2",300,511,288,758,981,528
"LOC107986126",3,2,0,1,5,3
"PODXL2",8,25,27,24,20,39
"ABTB1",404,459,479,380,294,374
"MGLL",2033,2057,1364,3973,2706,1261
"LOC107986127",29,36,5,27,25,12
"LOC107986129",0,0,1,1,0,0
"LOC105374096",1,0,0,0,0,0
"KBTBD12",0,0,0,0,0,1
"LOC102723759",1,0,0,3,3,7
"SEC61A1",9677,11211,11018,14567,15807,12719
"RUVBL1",677,764,781,961,1128,927
"RUVBL1-AS1",4,3,2,0,1,2
"EEFSEC",116,173,138,115,151,106
"DNAJB8",0,0,0,0,0,0
"DNAJB8-AS1",0,0,0,0,0,0
"GATA2",237,68,371,174,79,58
"GATA2-AS1",34,37,96,17,14,5
"LOC90246",25,23,37,17,11,3
"LINC01565",1,0,0,0,0,0
"RPN1",5352,7899,7578,10366,11078,7696
"RAB7A",1964,1918,1915,3320,3011,2322
"LOC653712",11,14,7,10,14,20
"ACAD9",474,676,452,561,657,633
"KIAA1257",70,63,25,39,65,98
"EFCC1",0,1,0,0,0,0
"GP9",0,0,0,0,0,0
"ISY1-RAB43",0,0,0,0,0,0
"RAB43",14,36,33,55,33,45
"ISY1",230,236,255,215,277,277
"CNBP",4004,3335,4928,3929,4233,4721
"LOC105374101",17,12,16,15,22,15
"LOC105374102",0,0,0,0,0,0
"COPG1",5583,5693,5892,8560,9428,6648
"MIR6826",0,2,2,2,0,1
"HMCES",292,314,268,293,427,295
"H1FX",576,441,726,1005,762,791
"H1FX-AS1",50,17,56,73,85,62
"RPL32P3",77,78,55,72,102,157
"SNORA7B",38,73,65,65,69,79
"EFCAB12",4,1,1,0,3,4
"MBD4",712,724,732,673,805,811
"IFT122",524,567,523,519,891,912
"RHO",0,0,0,0,0,1
"H1FOO",12,14,9,25,11,41
"PLXND1",3085,3616,2961,4465,3659,5891
"TMCC1",396,468,434,531,552,505
"TMCC1-AS1",30,31,48,36,57,91
"TRH",3,2,0,5,9,0
"ALG1L2",7,3,2,1,2,2
"LINC02014",4,2,1,0,0,4
"FAM86HP",59,42,48,27,37,53
"LINC02021",16,4,11,4,20,12
"LOC105374103",0,0,0,0,0,2
"LOC107986131",2,0,1,0,0,0
"LOC107986133",0,0,0,0,0,1
"COL6A4P2",1,0,1,0,0,1
"LOC105374106",0,0,0,0,0,0
"COL6A5",0,0,0,0,1,0
"COL6A6",301,117,13,119,125,280
"PIK3R4",939,868,819,1034,1026,1068
"LOC107986023",2,3,2,3,3,10
"LOC105374107",0,0,0,0,0,1
"LOC105374108",0,0,0,0,0,0
"ATP2C1",2308,2979,2320,2651,2420,2619
"ASTE1",219,164,226,183,207,283
"NEK11",369,231,327,259,301,530
"LOC107986024",6,5,4,3,1,8
"LOC339874",5,4,8,5,4,9
"NUDT16P1",21,20,15,7,12,22
"NUDT16",1033,782,1002,629,828,1000
"LOC107986025",0,0,1,1,1,0
"LOC105374110",0,0,0,1,0,1
"MRPL3",931,1357,1259,1110,1379,1223
"SNORA58",2,1,0,4,1,11
"LOC105374114",1,6,5,12,9,10
"CPNE4",2,0,0,2,5,5
"LOC105374113",1,0,0,0,1,0
"MIR5704",0,0,0,0,0,0
"LOC105374111",0,0,0,0,0,0
"TRC-GCA6-1",0,0,0,0,0,0
"TRC-GCA9-1",0,0,0,1,0,0
"ACPP",2,0,1,5,29,1
"DNAJC13",4561,5164,3905,4503,4492,5831
"NPHP3-ACAD11",3,1,0,3,5,3
"ACAD11",31,21,21,14,17,45
"ACKR4",3582,231,4364,1080,845,4229
"UBA5",821,1235,916,978,1291,1655
"NPHP3",200,298,221,186,219,281
"NPHP3-AS1",3,1,3,8,3,5
"LOC105374115",0,0,0,0,0,0
"TMEM108",0,2,0,2,3,1
"TMEM108-AS1",0,0,0,0,0,0
"LOC101927432",0,3,0,9,3,3
"BFSP2",0,1,1,4,0,0
"BFSP2-AS1",0,0,1,0,0,1
"CDV3",4494,5492,4791,4584,5432,5441
"TOPBP1",746,693,678,1292,1683,1087
"TF",9,3,8,8,5,20
"SRPRB",1066,2045,1448,2169,2270,1712
"LOC105374116",0,0,0,1,0,0
"RAB6B",76,77,71,100,71,90
"C3orf36",0,0,0,1,0,0
"SLCO2A1",2,3,3,43,56,7
"LINC02000",0,0,0,0,0,0
"LOC105374117",0,0,0,0,0,1
"RYK",2110,2222,2293,1494,1987,2081
"LINC02004",0,4,6,3,1,1
"LOC105374118",6,9,5,5,3,2
"AMOTL2",7444,11427,8155,8596,6919,4299
"MIR6827",3,4,0,2,6,3
"MIR4788",0,0,0,0,0,0
"ANAPC13",979,541,839,909,1057,966
"CEP63",404,426,381,449,506,383
"EPHB1",18,7,4,65,29,7
"KY",37,7,24,7,48,125
"LOC105374121",4,2,0,5,3,4
"LOC105374120",0,0,0,0,0,0
"LOC102724019",0,0,0,1,0,3
"LOC105374122",0,0,0,2,1,0
"LOC105374123",0,0,0,0,0,0
"LOC105374124",0,0,0,0,0,0
"PPP2R3A",940,618,847,1110,1331,950
"LOC107986135",1,4,1,2,4,6
"MSL2",554,566,540,471,594,669
"PCCB",505,823,674,601,631,777
"STAG1",3469,3883,3419,2422,3045,3350
"SLC35G2",226,240,251,358,264,270
"NCK1-DT",21,10,26,23,26,33
"NCK1",774,628,813,594,646,891
"IL20RB-AS1",8,5,9,7,8,29
"IL20RB",1340,636,461,601,502,1765
"LOC105374126",0,0,0,0,0,0
"SOX14",0,0,0,0,0,0
"LINC01210",0,0,0,0,0,0
"CLDN18",36,19,16,13,19,32
"LOC105374127",25,15,6,7,17,29
"LOC105374128",21,29,12,3,35,22
"DZIP1L",397,490,381,400,527,555
"A4GNT",1,10,3,10,4,5
"DBR1",293,332,350,366,389,420
"ARMC8",627,778,635,613,748,703
"NME9",9,11,6,9,19,17
"MRAS",1021,1233,1386,1840,2006,1415
"LOC105374129",0,2,3,2,2,3
"ESYT3",26,29,49,122,55,53
"CEP70",189,229,284,203,369,271
"FAIM",149,242,192,190,183,182
"PIK3CB",184,279,184,282,292,175
"LINC01391",22,10,22,7,11,14
"FOXL2",195,88,180,186,122,149
"FOXL2NB",354,127,267,289,230,272
"PRR23A",0,0,0,0,1,0
"PRR23B",0,0,0,0,0,0
"PRR23C",0,0,0,0,0,0
"BPESC1",0,0,0,1,0,0
"PISRT1",0,0,0,0,1,0
"MRPS22",567,616,595,489,503,548
"COPB2",6065,9786,6864,7762,7959,6669
"LOC100507291",28,16,38,25,38,32
"RBP2",0,0,1,1,1,0
"RBP1",14,3,57,2,70,33
"NMNAT3",20,14,27,14,24,21
"CLSTN2",0,40,18,7,1563,17
"LOC105374132",0,0,0,0,0,0
"CLSTN2-AS1",0,0,0,0,2,0
"LOC102724068",0,0,0,1,2,0
"TRIM42",0,0,0,0,0,0
"SLC25A36",1192,1058,1015,961,1126,1296
"SPSB4",0,0,0,0,0,2
"PXYLP1",260,150,434,317,297,348
"ZBTB38",3876,3770,4974,3689,4590,4798
"RASA2",917,826,1014,1343,1189,1174
"LINC02618",1,2,0,0,0,1
"RNF7",1099,1153,1575,1166,1285,1162
"GRK7",2,0,2,3,2,0
"LOC105374134",0,0,0,0,0,0
"ATP1B3",1484,1837,1749,2908,2543,2027
"TFDP2",1035,379,1072,1009,1170,1567
"GK5",753,1136,732,885,1068,1188
"XRN1",2248,2304,1671,2029,2438,2487
"ATR",1144,1637,1086,1582,1664,1650
"PLS1",4,17,3,14,8,3
"LOC105374136",0,0,0,0,0,0
"TRPC1",870,921,692,747,891,949
"PCOLCE2",84,585,225,416,342,578
"LOC100507389",0,0,0,0,0,0
"PAQR9",0,0,0,1,0,0
"PAQR9-AS1",0,0,0,0,0,2
"LOC100289361",10,3,4,9,15,7
"U2SURP",1808,2476,1742,1720,2230,2237
"LOC105374138",0,0,0,0,0,0
"CHST2",265,587,1017,274,261,835
"LOC105374137",0,0,1,0,1,2
"SLC9A9",1025,296,1093,364,444,2603
"SLC9A9-AS1",1,1,1,0,2,4
"LOC102724120",3,3,2,1,1,6
"DIPK2A",812,491,838,419,749,1602
"LOC105374140",12,10,7,6,21,21
"LOC105374139",0,0,0,0,0,1
"LOC105374141",0,0,0,0,0,1
"LOC105374142",0,0,2,0,0,0
"LOC105374143",0,0,0,0,0,0
"LOC105374144",0,0,0,0,0,0
"LOC107986138",0,1,0,0,1,0
"LNCSRLR",4,21,3,19,24,7
"PLOD2",1484,7076,2826,5677,9747,1567
"LOC105374145",17,7,9,9,14,28
"PLSCR4",1071,467,1138,777,654,1956
"PLSCR2",0,1,0,2,0,4
"PLSCR1",577,234,448,356,487,613
"PLSCR5",0,0,0,0,0,0
"LINC02010",0,0,0,0,0,0
"LOC112268449",0,0,1,0,0,3
"ZIC4",240,149,83,248,228,314
"ZIC1",351,354,98,638,400,482
"LOC440982",8,2,1,5,2,8
"LOC102724145",1,0,0,1,0,0
"LINC02032",0,0,0,0,0,0
"LINC02045",0,0,0,0,0,0
"LINC02046",0,0,0,0,0,0
"LOC105374148",0,0,0,1,0,0
"LOC105374147",0,0,0,0,0,0
"LOC105374150",0,0,0,0,0,0
"AGTR1",62,313,355,197,252,695
"CPB1",0,6,10,24,5,46
"CPA3",0,4,1,4,1,3
"LOC107986045",0,0,0,1,0,0
"GYG1",1134,1539,1334,1012,921,1074
"HLTF",1346,1734,1201,1326,1670,1402
"HLTF-AS1",0,0,0,0,0,0
"HPS3",680,686,748,638,715,741
"CP",11,5,2,31,2,17
"LOC101927942",0,0,0,0,0,0
"LOC107986140",0,0,0,0,0,0
"TM4SF18",1,1,1,11,1,1
"TM4SF1",136,330,130,584,344,12
"TM4SF1-AS1",1,0,0,1,1,1
"LOC105374151",0,0,0,0,0,0
"TM4SF4",1,6,0,5,1,0
"WWTR1",2403,1317,1433,3081,3256,2725
"WWTR1-AS1",4,7,8,5,9,7
"COMMD2",858,1193,1024,697,1009,1064
"ANKUB1",0,0,0,0,1,0
"RNF13",1057,1009,1227,1074,1074,1334
"LOC105374152",22,63,18,61,82,72
"PFN2",2112,4237,3727,2291,3436,2708
"LOC646903",7,15,18,15,34,23
"TMEM183B",436,466,539,344,456,542
"LOC105374153",0,0,0,1,0,0
"LINC01998",1,1,0,2,0,0
"LOC105374313",0,1,1,0,1,2
"LINC01213",1,0,1,6,2,0
"LINC01214",1,0,0,0,2,2
"LOC105374154",1,1,0,0,3,0
"LOC107986141",1,0,2,3,1,3
"LOC107986142",1,0,2,2,1,3
"TSC22D2",634,729,866,1850,1329,1024
"SERP1",2184,3827,3130,3740,3673,3413
"EIF2A",2102,1950,2770,1419,1755,2341
"SELENOT",1089,1141,1718,1217,1128,1065
"ERICH6",5,5,3,11,8,7
"ERICH6-AS1",7,10,9,12,14,7
"LOC101928105",2,1,0,3,3,8
"SIAH2",594,667,652,553,694,768
"LOC105374155",7,5,5,3,11,11
"MINDY4B",0,2,0,1,0,0
"LOC107986144",0,0,0,0,0,0
"CLRN1",0,0,0,0,0,0
"CLRN1-AS1",0,0,0,0,0,0
"MED12L",41,24,30,24,39,95
"GPR171",0,1,1,0,0,1
"P2RY14",16,19,1,2,2,31
"GPR87",1,0,0,0,1,1
"P2RY13",1,0,1,0,0,1
"P2RY12",1,5,0,2,1,14
"IGSF10",350,64,571,185,322,2754
"MIR5186",0,0,0,0,0,0
"LOC105374157",0,0,5,0,0,7
"LINC02066",5,0,0,2,0,16
"AADACL2",1,0,1,0,0,4
"AADACL2-AS1",0,0,0,3,0,2
"AADACP1",0,0,0,0,0,0
"LOC105374160",0,0,0,0,0,0
"AADAC",0,0,0,0,0,0
"SUCNR1",0,0,0,0,4,2
"LOC105374159",0,0,0,0,0,0
"LOC107986047",0,0,0,0,1,1
"LOC101928166",0,0,0,1,1,0
"MBNL1",5998,10973,5885,7354,8030,6597
"MBNL1-AS1",276,858,350,291,476,333
"LOC105374162",110,239,64,126,187,135
"TMEM14EP",28,62,22,26,39,27
"LOC105374163",0,2,0,1,1,0
"LOC102724289",1,2,0,1,0,0
"P2RY1",32,2,47,53,54,214
"RAP2B",1584,921,1813,1260,1534,2275
"LOC105374164",2,1,1,5,1,4
"LOC105374166",2,0,0,0,0,2
"LINC02006",4,0,3,0,0,5
"LINC02083",0,0,0,0,0,0
"C3orf79",1,0,0,0,0,0
"ARHGEF26-AS1",1,0,0,1,2,2
"ARHGEF26",13,8,12,34,69,62
"LOC105374167",2,3,2,2,6,6
"DHX36",845,1160,799,894,1186,1097
"GPR149",0,0,0,0,0,0
"LOC105374170",0,0,0,0,0,0
"LOC105374171",1,1,2,5,4,5
"MME",10898,3452,13381,15049,16133,27754
"LINC01487",0,0,0,0,0,0
"DWORF",0,0,0,0,1,1
"LOC105374172",0,0,0,0,0,0
"PLCH1",5,2,2,4,5,7
"PLCH1-AS2",0,0,0,0,0,0
"C3orf33",69,84,76,57,46,96
"SLC33A1",1103,1433,1117,981,1145,1430
"LOC105374174",0,0,2,1,1,1
"GMPS",1662,1579,1394,1480,1806,1904
"KCNAB1",114,119,67,92,127,147
"KCNAB1-AS2",0,0,0,0,0,0
"KCNAB1-AS1",0,0,0,0,0,0
"SSR3",2538,3646,3747,5462,4997,2765
"TIPARP-AS1",10,8,11,27,19,6
"TIPARP",3153,1404,2338,2058,2146,1059
"LOC107986148",148,99,94,213,197,92
